id,postcode,name,incidents,x,y
125,75102,Paris 2e Arrondissement,1,"2,347","48,865"
126,95277,Gonesse,1,"2,485","48,973"
127,92036,Gennevilliers,1,"2,282","48,947"
128,64335,Lescar,1,"-0,441","43,33"
129,95572,Saint-Ouen-l'Aumône,1,"2,121","49,031"
130,74010,Annecy,1,"6,128","45,933"
131,56098,Lanester,1,"-3,338","47,774"
132,69386,Lyon 6e Arrondissement,2,"4,861","45,769"
133,69069,Craponne,1,"4,717","45,746"
134,49099,Cholet,2,"-0,832","47,08"
135,75108,Paris 8e Arrondissement,1,"2,297","48,873"
136,34199,Pézenas,1,"3,408","43,454"
137,82117,Montaigu-de-Quercy,2,"0,963","44,339"
138,75114,Paris 14e Arrondissement,1,"2,332","48,817"
139,93015,Coubron,2,"2,573","48,924"
140,6088,Nice,2,"7,188","43,7"
141,51118,Champigny,1,"3,961","49,271"
142,31037,Avignonet-Lauragais,2,"1,78","43,362"
143,22278,Saint-Brieuc,1,"-2,756","48,511"
144,94028,Créteil,1,"2,45","48,801"
145,66088,Ille-sur-Têt,3,"2,643","42,662"
146,91228,Évry-Courcouronnes,3,"2,427","48,619"
147,75112,Paris 12e Arrondissement,1,"2,398","48,839"
148,91228,Évry-Courcouronnes,1,"2,428","48,617"
149,88160,Épinal,1,"6,445","48,169"
150,93048,Montreuil,1,"2,425","48,856"
151,92060,Le Plessis-Robinson,1,"2,252","48,773"
152,29173,Plonéis,1,"-4,195","47,999"
153,93055,Pantin,1,"2,396","48,9"
154,19031,Brive-la-Gaillarde,1,"1,535","45,16"
155,93010,Bondy,1,"2,477","48,915"
156,75108,Paris 8e Arrondissement,2,"2,324","48,874"
157,22106,Langueux,1,"-2,727","48,496"
158,92026,Courbevoie,1,"2,255","48,889"
159,33487,Saint-Vincent-de-Paul,4,"-0,467","44,941"
160,73257,Les Belleville,2,"6,503","45,386"
161,75101,Paris 1er Arrondissement,1,"2,341","48,859"
162,10323,Romilly-sur-Seine,3,"3,721","48,505"
163,69388,Lyon 8e Arrondissement,1,"4,887","45,741"
164,93005,Aulnay-sous-Bois,1,"2,483","48,952"
165,93059,Pierrefitte-sur-Seine,1,"2,361","48,964"
166,27003,Acquigny,1,"1,175","49,173"
167,22282,Saint-Cast-le-Guildo,1,"-2,242","48,601"
168,33063,Bordeaux,2,"-0,589","44,859"
169,33550,Villenave-d'Ornon,1,"-0,582","44,781"
170,3226,Saint-Didier-en-Donjon,1,"3,891","46,393"
171,83099,Puget-sur-Argens,1,"6,707","43,44"
172,46162,Lauzès,1,"1,584","44,552"
173,69290,Saint-Priest,1,"4,92","45,7"
174,7102,Guilherand-Granges,1,"4,865","44,94"
175,11172,Homps,3,"2,736","43,266"
176,93005,Aulnay-sous-Bois,2,"2,499","48,937"
177,94078,Villeneuve-Saint-Georges,2,"2,462","48,737"
178,27681,Vernon,2,"1,495","49,116"
179,91477,Palaiseau,1,"2,248","48,721"
180,69290,Saint-Priest,1,"4,937","45,694"
181,67103,Dossenheim-sur-Zinsel,1,"7,423","48,81"
182,75115,Paris 15e Arrondissement,1,"2,278","48,847"
183,83137,Toulon,4,"5,929","43,126"
184,56013,Belz,1,"-3,183","47,676"
185,45093,Chevilly,1,"1,84","48,041"
186,81004,Albi,2,"2,172","43,925"
187,50218,Granville,1,"-1,575","48,838"
188,92020,Châtillon,2,"2,291","48,803"
189,94046,Maisons-Alfort,1,"2,447","48,803"
190,34340,Villetelle,2,"4,138","43,717"
191,77121,Collégien,1,"2,668","48,836"
192,59388,Marquillies,1,"2,876","50,559"
193,49092,Chemillé-en-Anjou,1,"-0,725","47,21"
194,69389,Lyon 9e Arrondissement,1,"4,797","45,771"
195,64216,Espoey,2,"-0,147","43,262"
196,17330,Sainte-Gemme,1,"-0,946","45,754"
197,93064,Rosny-sous-Bois,3,"2,476","48,879"
198,38318,Pont-Évêque,2,"4,919","45,524"
199,94002,Alfortville,1,"2,419","48,781"
200,93007,Le Blanc-Mesnil,1,"2,449","48,941"
201,62193,Calais,2,"1,843","50,947"
202,95582,Sannois,1,"2,251","48,969"
203,14035,Balleroy-sur-Drôme,1,"-0,847","49,184"
204,75119,Paris 19e Arrondissement,2,"2,374","48,896"
205,92004,Asnières-sur-Seine,2,"2,273","48,927"
206,49007,Angers,1,"-0,556","47,45"
207,10362,Sainte-Savine,1,"4,03","48,303"
208,93029,Drancy,1,"2,423","48,916"
209,59268,La Gorgue,1,"2,73","50,627"
210,2B311,Santa-Maria-Poggio,1,"9,531","42,356"
211,32013,Auch,2,"0,582","43,648"
212,49007,Angers,1,"-0,559","47,459"
213,60243,Fontaine-Saint-Lucien,2,"2,148","49,488"
214,13205,Marseille 5e Arrondissement,2,"5,4","43,29"
215,69290,Saint-Priest,1,"4,943","45,69"
216,27016,Les Andelys,1,"1,453","49,248"
217,78314,Issou,1,"1,799","48,988"
218,6123,Saint-Laurent-du-Var,1,"7,192","43,668"
219,74305,Ville-la-Grand,1,"6,281","46,205"
220,59350,Lille,2,"3,082","50,634"
221,95539,Saint-Brice-sous-Forêt,1,"2,364","48,995"
222,69092,Gleizé,1,"4,697","45,989"
223,80173,Cardonnette,1,"2,382","49,958"
224,35238,Rennes,1,"-1,684","48,099"
225,13005,Aubagne,2,"5,587","43,286"
226,59131,Cappelle-la-Grande,1,"2,376","50,998"
227,6085,Mougins,1,"7,007","43,581"
228,35206,Noyal-Châtillon-sur-Seiche,1,"-1,663","48,059"
229,28035,Berchères-les-Pierres,1,"1,551","48,403"
230,65388,Saint-Lary-Soulan,1,"0,327","42,821"
231,76159,Cany-Barville,1,"0,639","49,789"
232,79191,Niort,1,"-0,467","46,31"
233,22172,Plancoët,1,"-2,222","48,517"
234,79057,Brioux-sur-Boutonne,1,"-0,209","46,124"
235,75113,Paris 13e Arrondissement,1,"2,38","48,832"
236,59507,Ronchin,1,"3,089","50,612"
237,89037,Béon,2,"3,288","47,918"
238,17415,Saintes,1,"-0,624","45,747"
239,95280,Goussainville,1,"2,455","49,027"
240,59350,Lille,1,"3,013","50,639"
241,94078,Villeneuve-Saint-Georges,1,"2,451","48,732"
242,28322,Rueil-la-Gadelière,1,"0,961","48,709"
243,74085,Les Contamines-Montjoie,1,"6,717","45,814"
244,13005,Aubagne,1,"5,529","43,286"
245,64102,Bayonne,1,"-1,465","43,503"
246,76217,Dieppe,1,"1,083","49,927"
247,21388,Marliens,1,"5,182","47,21"
248,83137,Toulon,1,"5,912","43,146"
249,86194,Poitiers,2,"0,372","46,57"
250,75116,Paris 16e Arrondissement,1,"2,258","48,857"
251,93048,Montreuil,1,"2,428","48,857"
252,69290,Saint-Priest,1,"4,921","45,695"
253,44109,Nantes,2,"-1,564","47,206"
254,62338,Fleurbaix,1,"2,835","50,635"
255,75116,Paris 16e Arrondissement,1,"2,274","48,848"
256,51454,Reims,1,"4,03","49,254"
257,75112,Paris 12e Arrondissement,1,"2,392","48,827"
258,47195,Nérac,2,"0,323","44,131"
259,33009,Arcachon,1,"-1,154","44,651"
260,59350,Lille,1,"3,108","50,629"
261,63113,Clermont-Ferrand,1,"3,117","45,795"
262,85234,Saint-Jean-de-Monts,2,"-2,006","46,771"
263,10297,Pont-Sainte-Marie,2,"4,113","48,325"
264,35238,Rennes,1,"-1,656","48,098"
265,55029,Bar-le-Duc,1,"5,172","48,769"
266,45302,Saran,1,"1,888","47,944"
267,37214,Saint-Cyr-sur-Loire,1,"0,667","47,413"
268,67339,Betschdorf,2,"7,93","48,898"
269,31003,Aigrefeuille,1,"1,585","43,562"
270,46317,Thégra,1,"1,771","44,832"
271,18019,Azy,1,"2,677","47,184"
272,92024,Clichy,1,"2,305","48,903"
273,81004,Albi,1,"2,147","43,923"
274,53101,Fromentières,6,"-0,681","47,892"
275,1344,Saint-Denis-lès-Bourg,1,"5,204","46,211"
276,6127,Saint-Martin-Vésubie,2,"7,283","44,044"
277,94017,Champigny-sur-Marne,1,"2,51","48,814"
278,69162,Quincié-en-Beaujolais,1,"4,608","46,14"
279,86281,Saint-Martin-la-Pallu,1,"0,309","46,737"
280,69259,Vénissieux,1,"4,873","45,7"
281,13207,Marseille 7e Arrondissement,1,"5,359","43,288"
282,45187,Lorris,1,"2,478","47,867"
283,62166,Bours,1,"2,386","50,452"
284,75115,Paris 15e Arrondissement,1,"2,301","48,829"
285,75113,Paris 13e Arrondissement,2,"2,375","48,823"
286,35238,Rennes,1,"-1,636","48,132"
287,94069,Saint-Maurice,1,"2,42","48,818"
288,67482,Strasbourg,1,"7,697","48,589"
289,75110,Paris 10e Arrondissement,1,"2,359","48,875"
290,64545,Urrugne,2,"-1,727","43,36"
291,54578,Villers-lès-Nancy,1,"6,127","48,656"
292,92063,Rueil-Malmaison,1,"2,19","48,874"
293,92073,Suresnes,1,"2,21","48,863"
294,59183,Dunkerque,2,"2,332","51,021"
295,44109,Nantes,1,"-1,508","47,245"
296,75113,Paris 13e Arrondissement,1,"2,386","48,825"
297,94028,Créteil,1,"2,436","48,787"
298,86066,Châtellerault,1,"0,545","46,817"
299,21515,Quetigny,1,"5,106","47,311"
300,2381,Hirson,2,"4,085","49,905"
301,62638,Oisy-le-Verger,2,"3,121","50,251"
302,93078,Villepinte,1,"2,535","48,959"
303,14191,Courseulles-sur-Mer,2,"-0,452","49,335"
304,64122,Biarritz,1,"-1,543","43,486"
305,29272,Saint-Yvi,1,"-3,933","47,967"
306,75118,Paris 18e Arrondissement,1,"2,35","48,885"
307,29019,Brest,1,"-4,499","48,401"
308,92019,Châtenay-Malabry,1,"2,254","48,766"
309,75113,Paris 13e Arrondissement,1,"2,356","48,816"
310,10060,Bréviandes,1,"4,093","48,256"
311,92036,Gennevilliers,1,"2,289","48,932"
312,2B319,Talasani,1,"9,529","42,418"
313,76452,Montville,1,"1,062","49,536"
314,89309,Pont-sur-Yonne,1,"3,211","48,285"
315,62464,Hulluch,2,"2,809","50,491"
316,92078,Villeneuve-la-Garenne,1,"2,336","48,936"
317,91027,Athis-Mons,1,"2,393","48,706"
318,40046,Biscarrosse,1,"-1,143","44,423"
319,68300,Sausheim,2,"7,389","47,779"
320,94044,Limeil-Brévannes,1,"2,474","48,749"
321,76351,Le Havre,1,"0,153","49,514"
322,79311,Secondigny,1,"-0,417","46,59"
323,13113,Venelles,1,"5,476","43,583"
324,75114,Paris 14e Arrondissement,1,"2,315","48,835"
325,29019,Brest,1,"-4,451","48,401"
326,92075,Vanves,1,"2,297","48,824"
327,88409,Saint-Amé,2,"6,643","48,012"
328,92050,Nanterre,1,"2,203","48,888"
329,63164,Gerzat,1,"3,151","45,816"
330,94046,Maisons-Alfort,1,"2,456","48,81"
331,50604,Tréauville,1,"-1,836","49,543"
332,30169,Milhaud,3,"4,317","43,788"
333,71014,Autun,1,"4,26","46,977"
334,9122,Foix,1,"1,61","42,964"
335,77373,Pontault-Combault,1,"2,614","48,766"
336,92004,Asnières-sur-Seine,1,"2,283","48,915"
337,37261,Tours,1,"0,701","47,413"
338,14249,Esquay-Notre-Dame,1,"-0,469","49,121"
339,10362,Sainte-Savine,1,"4,035","48,292"
340,74012,Annemasse,1,"6,236","46,195"
341,91223,Étampes,1,"2,196","48,415"
342,38416,Saint-Marcellin,1,"5,326","45,132"
343,93048,Montreuil,1,"2,444","48,862"
344,45327,Traînou,1,"2,094","47,985"
345,94046,Maisons-Alfort,1,"2,433","48,797"
346,74012,Annemasse,1,"6,256","46,193"
347,93007,Le Blanc-Mesnil,1,"2,478","48,942"
348,11099,Conques-sur-Orbiel,2,"2,36","43,282"
349,7122,Lachapelle-sous-Aubenas,1,"4,359","44,56"
350,59035,Avesnelles,1,"3,93","50,119"
351,34113,Gigean,1,"3,714","43,499"
352,21054,Beaune,1,"4,836","47,018"
353,91228,Évry-Courcouronnes,1,"2,413","48,631"
354,66136,Perpignan,1,"2,902","42,705"
355,11069,Carcassonne,1,"2,402","43,204"
356,83035,Le Castellet,2,"5,761","43,262"
357,35024,Betton,1,"-1,648","48,161"
358,14118,Caen,2,"-0,364","49,185"
359,49007,Angers,1,"-0,544","47,471"
360,92026,Courbevoie,1,"2,264","48,898"
361,83061,Fréjus,1,"6,892","43,522"
362,93070,Saint-Ouen-sur-Seine,1,"2,346","48,903"
363,50615,Valognes,1,"-1,472","49,509"
364,95658,Vigny,1,"1,942","49,079"
365,91645,Verrières-le-Buisson,3,"2,283","48,745"
366,94003,Arcueil,1,"2,342","48,804"
367,29046,Douarnenez,1,"-4,342","48,073"
368,34213,Poussan,1,"3,668","43,486"
369,13208,Marseille 8e Arrondissement,1,"5,394","43,259"
370,59400,Merville,2,"2,63","50,626"
371,75104,Paris 4e Arrondissement,1,"2,351","48,858"
372,72181,Le Mans,1,"0,168","47,979"
373,13205,Marseille 5e Arrondissement,1,"5,401","43,295"
374,13201,Marseille 1er Arrondissement,1,"5,375","43,3"
375,79322,Le Tallud,1,"-0,283","46,638"
376,69034,Caluire-et-Cuire,1,"4,86","45,793"
377,69034,Caluire-et-Cuire,1,"4,861","45,791"
378,72181,Le Mans,1,"0,174","48,033"
379,6128,Saint-Paul-de-Vence,1,"7,117","43,698"
380,73089,Coise-Saint-Jean-Pied-Gauthier,2,"6,125","45,532"
381,50129,Cherbourg-en-Cotentin,1,"-1,633","49,637"
382,49099,Cholet,1,"-0,874","47,059"
383,25462,Pontarlier,2,"6,362","46,896"
384,94041,Ivry-sur-Seine,1,"2,382","48,81"
385,92064,Saint-Cloud,1,"2,22","48,848"
386,13210,Marseille 10e Arrondissement,1,"5,419","43,28"
387,69266,Villeurbanne,2,"4,912","45,762"
388,91589,Savigny-sur-Orge,1,"2,354","48,687"
389,87085,Limoges,1,"1,246","45,835"
390,93078,Villepinte,1,"2,556","48,961"
391,49306,Saint-Martin-du-Fouilloux,1,"-0,755","47,441"
392,64102,Bayonne,5,"-1,496","43,459"
393,75116,Paris 16e Arrondissement,1,"2,261","48,858"
394,78640,Vélizy-Villacoublay,1,"2,191","48,78"
395,37153,Monnaie,2,"0,769","47,485"
396,72181,Le Mans,2,"0,199","48,013"
397,66190,Salses-le-Château,2,"2,957","42,859"
398,77476,Trocy-en-Multien,3,"2,956","49,041"
399,75105,Paris 5e Arrondissement,1,"2,348","48,85"
400,51515,Saint-Remy-sur-Bussy,2,"4,613","49,036"
401,49007,Angers,1,"-0,565","47,471"
402,59151,Colleret,1,"4,106","50,261"
403,2B007,Albertacce,1,"8,947","42,304"
404,54323,Longwy,6,"5,778","49,527"
405,63113,Clermont-Ferrand,1,"3,108","45,77"
406,25262,Fuans,1,"6,616","47,136"
407,34344,La Grande-Motte,1,"4,086","43,556"
408,11262,Narbonne,1,3,"43,186"
409,37212,Sainte-Catherine-de-Fierbois,1,"0,647","47,145"
410,93048,Montreuil,1,"2,457","48,877"
411,78126,La Celle-Saint-Cloud,1,"2,147","48,845"
412,58194,Nevers,1,"3,172","46,989"
413,22176,Plédran,3,"-2,749","48,431"
